actor_id,first_name,last_name,gender
2467,Ryan (IV),Adams,M
2469,Ryan B.,Adams,M
2475,Samuel (II),Adams,M
2479,Seth (III),Adams,M
2481,Shelby Lee,Adams,M
2483,Skip,Adams,M
2488,Steve (I),Adams,M
2489,Steve (IV),Adams,M
2492,T.J.,Adams,M
2498,Therond Justin,Adams,M
2502,Thomas Joseph,Adams,M
2504,Timothy,Adams,M
2506,Tom (I),Adams,M
2507,Tom (III),Adams,M
2520,Vinnie,Adams,M
2527,Will (IV),Adams,M
2541,Terrence,Adamski,M
2546,Ames,Adamson,M
2547,Andrew,Adamson,M
2553,Chris,Adamson,M
2554,Christopher (I),Adamson,M
2556,David,Adamson,M
2557,Frank (I),Adamson,M
2564,Mihkel,Adamson,M
2574,Rory,Adamson,M
2579,Stuart (II),Adamson,M
2580,Swede,Adamson,M
2582,Troy,Adamson,M
2587,Michael,Adamthwaite,M
2610,Ariel,Adaszko,M
2611,Dan,Adaszko,M
2625,Karim,Adda,M
2638,James (II),Addams,M
2655,Charles,Addessi II,M
2658,Milo,Addica,M
2659,David,Addicks,M
2662,Robert,Addie,M
2674,Michael,Addis,M
2689,Richard (I),Addison,M
2691,Walter,Addison,M
2694,Kip,Addota,M
2697,Mark,Addy,M
2700,William,Addy,M
2703,Herbie,Ade,M
2708,Daniel,Adebayo,M
2710,Tunde,Adebimpe,M
2745,Grant,Adelman,M
2752,Shmuel,Adelman,M
2754,Thomas D.,Adelman,M
2764,Paul,Adelstein,M
2770,Bob,Aden,M
2778,Jean-Christophe,Adenis,M
2779,Karim,Adenis,M
2781,Ulrich,Adensammer,M
2784,Bob,Ader,M
2788,Deban,Aderemi,M
2793,Adi,Aderi,M
2798,Phil,Aderton,M
2803,Christian,Adeti,M
2806,John,Adewole,M
2816,Tapas,Adhikari,M
2818,Dennis,Adhiswara,M
2824,Kamal,Adib,M
2834,Julian,Adigun,M
2836,Yigal,Adika,M
2846,Alket,Adini,M
2852,Master,Aditi,M
2854,Surte,Aditya,M
2857,Ariunjargal,Adiya,M
2867,Martín,Adjemián,M
2870,Ambroise,Adjou,M
2876,Cindy Lou,Adkins,M
2877,Clay,Adkins,M
2885,Hasil,Adkins,M
2889,Joe (I),Adkins,M
2897,Scott,Adkins,M
2898,Seth (I),Adkins,M
2905,Kamran,Adl,M
2906,Taleb,Adlah,M
2925,Charles (I),Adler,M
2928,Cisco,Adler,M
2957,Jonathan (II),Adler,M
2965,Luther,Adler,M
2966,Matt,Adler,M
2967,Michael (I),Adler,M
2974,R.J.,Adler,M
2979,Robert Michael,Adler,M
2983,Steve,Adler,M
2986,Thierry,Adler,M
3000,Zane,Adlum,M
3001,Stephen,Adly-Guirgis,M
3003,Joop,Admiraal,M
3013,Chico,Adnet,M
3015,Glenn,Adnurn,M
3025,JanAd,Adolfsen,M
3032,Gustav,Adolph,M
3034,Vernon,Adolph,M
3049,Frank,Adonis,M
3055,Mario,Adorf,M
3063,Anatoli,Adoskin,M
3065,Razaaq,Adoti,M
3067,Albert,Adoum,M
3072,Sahm,Adrangi,M
3077,Haim,Adri,M
3080,Adriaan,Adriaanse,M
3085,Nest,Adriaenssen,M
3091,Bob,Adrian,M
3103,Walter,Adrian,M
3116,Franck,Adrien,M
3118,Laurent,Adrien,M
3127,Gustavo,Adrián,M
3131,José Luis,Adserías,M
3133,Scott,Adsit,M
3134,Nitin,Adsul,M
3146,Israel,Aduramo,M
3152,Dwayne,Adway,M
3161,Alex,Adzioski,M
3163,Vladimír,Adásek,M
3169,Simon,Aeby,M
3178,Kenny,Aernouts,M
3180,Steven,Aernouts,M
3181,Nick,Aero,M
3192,Theo,Af Enehielm,M
3193,Andreas,af Enehjelm,M
3209,Kyavash,Afarinesh,M
3216,Paul,Affeld,M
3225,Ben,Affleck,M
3226,Casey,Affleck,M
3228,Rab,Affleck,M
3232,Alex,Affolter,M
3244,Rodney,Afif,M
3250,Walid,Afkir,M
3264,Jorge (II),Afonso,M
3275,Yves,Afonso,M
3295,Shohreh,Afshar,M
3300,Craig,Aftanas,M
3301,Craig,Aftanis,M
3310,Varuzhan,Agadzhanyan,M
3311,Philippe,Agael,M
3320,Al,Agami,M
3325,Rey,Agana,M
3326,Clark,Aganon,M
3329,Marios,Agapitos,M
3341,Keno,Agaro,M
3344,Anirudh,Agarwal,M
3348,Somesh,Agarwal,M
3349,Mohan,Agashe,M
3354,Carlos,Agassi,M
3356,Morio,Agata,M
3357,Toshiya,Agata,M
3364,Sila,Agavale,M
3374,Gérard,Agbanchenou,M
3381,Kolade,Agboke,M
3382,Ayo,Agbonkpolo,M
3401,Timothy Dale,Agee,M
3405,Jesús,Agelet,M
3412,Roy,Ageloff,M
3414,Jim,Agenbroad,M
3418,Ben,Ager,M
3434,Roman,Ageyev,M
3436,Yannis,Aggelakas,M
3437,Yannis,Aggelakis,M
3444,Simon,Agger,M
3447,Bent,Aggestrup,M
3449,Rewan,Aggoune,M
3455,Farzin,Aghaie,M
3472,Awaovieyi,Agie,M
3481,Soner,Agin,M
3483,Antony,Agirov,M
3485,Anthony,Agius,M
3487,John,Agius,M
3488,Keith,Agius,M
3492,Antonio,Agliuzzi,M
3499,Donald,Agnelli,M
3516,Ian,Agnew,M
3524,Spiro,Agnew,M
3529,Larry,Agney,M
3532,Apoorva,Agnihotri,M
3533,Atul,Agnihotri,M
3545,Chris,Agos,M
3550,Artur,Agostinho,M
3555,Didier,Agostini,M
3568,Sid Ahmed,Agoumi,M
3571,Dominique,Agoutin,M
3573,Arsenio Bhoy,Agpoon,M
3574,Alfonso,Agra,M
3583,David,Agranov,M
3594,Jake,Agregado,M
3602,Alejandro,Agresti,M
3604,Sergio,Agresti,M
3608,Adriano,Agrillo,M
3613,Roma,Agronovski,M
3636,Andrew,Aguayo,M
3642,Ruben,Aguayo,M
3643,Troy,Aguayo,M
3646,Wilmar,Agudelo,M
3655,Mario,Aguerre,M
3656,Augustin,Aguerreberry,M
3685,Hamza Moctar,Aguid,M
3695,Mario,Aguilar Jr.,M
3700,Adan,Aguilar,M
3712,Chris,Aguilar,M
3716,Daniel,Aguilar,M
3717,Dante (I),Aguilar,M
3719,David,Aguilar,M
3722,Enrique (II),Aguilar,M
3725,Fabrizio,Aguilar,M
3727,Fernando (I),Aguilar,M
3733,G.A.,Aguilar,M
3734,Galo,Aguilar,M
3735,George,Aguilar,M
3749,Joseph,Aguilar,M
3752,Juan (IV),Aguilar,M
3755,Lou,Aguilar,M
3759,Léo,Aguilar,M
3763,Martín,Aguilar,M
3767,Mário,Aguilar,M
3769,Orlando,Aguilar,M
3771,Pablo (III),Aguilar,M
3780,Ricardo,Aguilar,M
3783,Rob,Aguilar,M
3792,Titillo,Aguilar,M
3794,Tony,Aguilar,M
3798,Aaron,Aguilera,M
3806,Gilbert,Aguilera,M
3817,Luis,Aguilé,M
3827,Gorka,Aguinagalde,M
3829,Carlos,Aguiriano,M
3833,Alfredo,Aguirre,M
3836,Armando,Aguirre,M
3841,Doug,Aguirre,M
3843,Emiliano,Aguirre,M
3851,Javier (III),Aguirre,M
3864,Ramón,Aguirre,M
3865,Raul,Aguirre,M
3868,Rueben,Aguirre,M
3869,Salvador,Aguirre,M
3876,Derrick,Aguis,M
3888,Gianfranco,Agus,M
3892,Marvin,Agustin,M
3903,Ibrahim Atilla,Agyun,M
3906,Gábor,Agárdi,M
3908,László,Agócs,M
3909,Zoltán,Agócs,M
3911,Nicolás,Agüero,M
3912,Ramiro,Agüero,M
3918,Ni-ta,Ah,M
3930,Mohamed,Ahaouari,M
3941,Jonathan,Ahdout,M
3945,Joey,Ahearn,M
3954,Curtis,Ahenakew,M
3975,David,Aherne,M
3980,Elton,Ahi,M
3983,Fouad,Ahidar,M
3985,Hori,Ahipene,M
3989,Aarni,Ahjolinna,M
3995,Michael,Ahl,M
4001,Lars,Ahlberg,M
4004,Anders,Ahlbom,M
4010,Robert,Ahlers,M
4012,Werner,Ahlers,M
4015,Al,Ahlf,M
4024,Nynno,Ahli,M
4043,Börje,Ahlstedt,M
4046,Johan,Ahlstedt,M
4051,Sven,Ahlström,M
4056,Emil,Ahlén,M
4058,Abdul,Ahmad,M
4060,Adam (II),Ahmad,M
4070,Saleem,Ahmad,M
4072,Tanveer,Ahmad,M
4077,Ayoub,Ahmadi,M
4085,Farbod,Ahmadjo,M
4091,Paul,Ahmarani,M
4092,Bsoul,Ahmas,M
4093,Abdoulaye,Ahmat,M
4101,Azmier,Ahmed,M
4104,Faizal,Ahmed,M
4109,Imran,Ahmed,M
4112,Kamal,Ahmed,M
4118,Michael,Ahmed,M
4123,Riyaz,Ahmed,M
4128,Shahid,Ahmed,M
4133,Syed (II),Ahmed,M
4134,Thanbir,Ahmed,M
4136,Zaheer,Ahmed,M
4137,Brian,Ahmes,M
4140,Sal,Ahmet,M
4157,Jae-hong,Ahn,M
4158,Jae-hwan,Ahn,M
4159,Jae-mo,Ahn,M
4160,Jae-wook,Ahn,M
4166,Kil-Kang,Ahn,M
4170,Nae-sang,Ahn,M
4181,Sung-kee,Ahn,M
4186,Alf,Ahnell,M
4194,Boris,Ahnov,M
4196,Antti,Aho,M
4197,Eero,Aho,M
4201,Jouko,Ahola,M
4203,Risto,Ahola,M
4215,Rauno,Ahonen,M
4220,Benhaïssa,Ahouari,M
4223,Richard,Ahren,M
4249,Erik,Ahrnbom,M
4256,Benaissa,Ahssin,M
4263,Terry,Ahue,M
4266,Ajit,Ahuja,M
4267,Dilip,Ahuja,M
4269,Mukesh,Ahuja,M
4270,Suhaas,Ahuja,M
4271,Vicky,Ahuja,M
4279,Olli,Ahvenlahti,M
4281,Kevin,Ahyi,M
4282,Mohammad,Ahzar,M
4283,Ren,Ai Jun,M
4286,Wai,Ai,M
4292,Matthew,Aibel,M
4293,Ricardo,Aibéo,M
4297,Claude,Aichele,M
4301,Hartmut,Aichilles,M
4305,Mike,Aichler,M
4306,Shigekazu,Aida,M
4307,Richard,Aidala,M
4325,Danny,Aiello,M
4335,Maurizio,Aiello,M
4340,Rick,Aiello,M
4344,Iñaki,Aierra,M
4350,Alex,Aievolli,M
4354,Nichola,Aigner,M
4361,Kazuyuki,Aijima,M
4362,Miguel Ángel,Aijón,M
4366,Sho,Aikawa,M
4367,Rudy,Aikels,M
4373,Daniel,Aiken,M
4379,Liam,Aiken,M
4381,Mark,Aiken,M
4393,Stuart,Aikins,M
4395,Luke,Aikman,M
4396,Trevor,Aikman,M
4397,Troy,Aikman,M
4403,Truston,Aillet,M
4407,Brahim,Aimad,M
4426,Joan-Francesc,Ainaud,M
4427,Danny,Ainge,M
4428,Daniel,Ainger,M
4437,Rosario,Ainnusa,M
4440,Pat,Ainscough,M
4442,Daniel,Ainsleigh,M
4449,Paul,Ainsley,M
4465,Stewart,Ainsworth,M
4470,Tavoi,Aiono,M
4477,Barry,Aird,M
4485,Rui,Aires,M
4491,Ilari,Airikkala,M
4492,Pentti,Airio,M
4494,Andrew,Airlie,M
4500,Jerry,Airolla,M
4501,José,Airosa,M
4503,Mauri,Airta,M
4508,Mark,Aisbett,M
4514,Temi Tayo,Aisida,M
4521,Martin,Aistrope,M
4530,Fraser,Aitcheson,M
4545,Randolph,Aitken,M
4551,Colin,Aitken-Glass,M
4562,Khoren,Aivazian,M
4563,Sona,Aivazian,M
4568,Stephane,Aizac,M
4580,Philippe,Aizizeau,M
4582,Segun,Ajaga,M
4586,Rabih,Ajami,M
4587,Vahan,Ajamian,M
4593,Franklyn,Ajaye,M
4595,Dupe,Ajayi,M
4598,Mattias,Ajdert,M
4602,Sebastjan,Ajdisek,M
4606,Emanuele,Ajello,M
4607,John,Ajemian,M
4608,Mark,Ajemian,M
4611,Yemi,Ajibade,M
4613,Abdellah,Ajil,M
4616,Mohamed,Ajmil,M
4618,Benjamin,Ajogri,M
4619,Khalid,Ajouri,M
4627,Hezron,Ajuala,M
4637,Shoichiro,Akaboshi,M
4641,Ali Kaya,Akacha,M
4645,John,Akagi,M
4649,Steve,Akahoshi,M
4652,Hidekazu,Akai,M
4657,Erdem,Akakce,M
4663,Tyrone,Akal,M
4664,Ukachi,Akalawu,M
4671,Tarik,Akan,M
